"","TP","Value","bNTI.ted.RC.partition","Habitat"
"1162",13,0,"(-∞, -2] & [0.95, 1]","Rhizosphere"
"1163",14,0,"(-∞, -2] & [0.95, 1]","Rhizosphere"
"1164",15,0,"(-∞, -2] & [0.95, 1]","Rhizosphere"
"1165",16,0,"(-∞, -2] & [0.95, 1]","Rhizosphere"
"1166",17,0,"(-∞, -2] & [0.95, 1]","Rhizosphere"
"1167",3,0,"(-∞, -2] & [0.95, 1]","Root"
"1168",4,0,"(-∞, -2] & [0.95, 1]","Root"
"1169",5,0,"(-∞, -2] & [0.95, 1]","Root"
"1170",6,0,"(-∞, -2] & [0.95, 1]","Root"
"1171",7,0,"(-∞, -2] & [0.95, 1]","Root"
"1172",8,0,"(-∞, -2] & [0.95, 1]","Root"
"1173",9,0,"(-∞, -2] & [0.95, 1]","Root"
"1174",10,0,"(-∞, -2] & [0.95, 1]","Root"
"1175",11,0,"(-∞, -2] & [0.95, 1]","Root"
"1176",12,0,"(-∞, -2] & [0.95, 1]","Root"
"1177",13,0,"(-∞, -2] & [0.95, 1]","Root"
"1178",14,0,"(-∞, -2] & [0.95, 1]","Root"
"1179",15,0,"(-∞, -2] & [0.95, 1]","Root"
"1180",16,0,"(-∞, -2] & [0.95, 1]","Root"
"1181",17,0,"(-∞, -2] & [0.95, 1]","Root"
"1182",0,0,"(-∞, -2] & [0.95, 1]","Soil"
"1183",3,0,"(-∞, -2] & [0.95, 1]","Soil"
"1184",4,0,"(-∞, -2] & [0.95, 1]","Soil"
"1185",5,0,"(-∞, -2] & [0.95, 1]","Soil"
"1186",6,0,"(-∞, -2] & [0.95, 1]","Soil"
"1187",7,0,"(-∞, -2] & [0.95, 1]","Soil"
"1188",8,0,"(-∞, -2] & [0.95, 1]","Soil"
"1189",9,0,"(-∞, -2] & [0.95, 1]","Soil"
"1190",10,0,"(-∞, -2] & [0.95, 1]","Soil"
"1191",11,0,"(-∞, -2] & [0.95, 1]","Soil"
"1192",12,0,"(-∞, -2] & [0.95, 1]","Soil"
"1193",13,0,"(-∞, -2] & [0.95, 1]","Soil"
"1194",14,0,"(-∞, -2] & [0.95, 1]","Soil"
"1195",15,0,"(-∞, -2] & [0.95, 1]","Soil"
"1196",16,0,"(-∞, -2] & [0.95, 1]","Soil"
"1197",17,0,"(-∞, -2] & [0.95, 1]","Soil"
"1198",1,4,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1199",2,4,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1200",3,4,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1201",4,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1202",5,2,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1203",6,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1204",7,2,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1205",8,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1206",9,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1207",10,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1208",11,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1209",12,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1210",13,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1211",14,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1212",15,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1213",16,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1214",17,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1215",1,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1216",2,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1217",3,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1218",4,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1219",5,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1220",6,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1221",7,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1222",8,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1223",9,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1224",10,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1225",11,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1226",12,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1227",13,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1228",14,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1229",15,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1230",16,1,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1231",17,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1232",1,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1233",2,1,"(-∞, -2] & (-0.95, 0.95)","Root"
"1234",3,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1235",4,1,"(-∞, -2] & (-0.95, 0.95)","Root"
"1236",5,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1237",6,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1238",7,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1239",8,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1240",9,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1241",10,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1242",11,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1243",12,2,"(-∞, -2] & (-0.95, 0.95)","Root"
"1244",13,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1245",14,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1246",15,2,"(-∞, -2] & (-0.95, 0.95)","Root"
"1247",16,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1248",17,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1249",0,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1250",1,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1251",2,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1252",3,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1253",4,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1254",5,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1255",6,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1256",7,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1257",8,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1258",9,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1259",10,1,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1260",11,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1261",12,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1262",13,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1263",14,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1264",15,1,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1265",16,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1266",17,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1267",8,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1268",9,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1269",10,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1270",11,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1271",12,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1272",13,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1273",14,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1274",15,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1275",16,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1276",17,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1277",8,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1278",9,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1279",10,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1280",11,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1281",12,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1282",13,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1283",14,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1284",15,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1285",16,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1286",17,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1287",8,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1288",9,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1289",10,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1290",11,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1291",12,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1292",13,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1293",14,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1294",15,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1295",16,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1296",17,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1297",0,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1298",8,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1299",9,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1300",10,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1301",11,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1302",12,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1303",13,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1304",14,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1305",15,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1306",16,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1307",17,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1308",3,2,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1309",4,2,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1310",5,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1311",6,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1312",7,1,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1313",8,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1314",9,1,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1315",10,1,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1316",11,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1317",12,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1318",13,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1319",14,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1320",15,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1321",16,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1322",17,0,"(-∞, -2] & (-0.95, 0.95)","Leaf"
"1323",3,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1324",4,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1325",5,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1326",6,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1327",7,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1328",8,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1329",9,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1330",10,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1331",11,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1332",12,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1333",13,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1334",14,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1335",15,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1336",16,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1337",17,0,"(-∞, -2] & (-0.95, 0.95)","Rhizosphere"
"1338",3,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1339",4,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1340",5,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1341",6,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1342",7,2,"(-∞, -2] & (-0.95, 0.95)","Root"
"1343",8,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1344",9,1,"(-∞, -2] & (-0.95, 0.95)","Root"
"1345",10,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1346",11,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1347",12,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1348",13,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1349",14,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1350",15,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1351",16,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1352",17,0,"(-∞, -2] & (-0.95, 0.95)","Root"
"1353",0,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1354",3,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1355",4,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1356",5,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1357",6,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1358",7,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1359",8,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1360",9,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1361",10,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1362",11,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1363",12,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1364",13,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1365",14,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1366",15,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1367",16,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1368",17,0,"(-∞, -2] & (-0.95, 0.95)","Soil"
"1369",1,2,"(-∞, -2] & [-1, -0.95]","Leaf"
"1370",2,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1371",3,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1372",4,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1373",5,1,"(-∞, -2] & [-1, -0.95]","Leaf"
"1374",6,3,"(-∞, -2] & [-1, -0.95]","Leaf"
"1375",7,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1376",8,7,"(-∞, -2] & [-1, -0.95]","Leaf"
"1377",9,15,"(-∞, -2] & [-1, -0.95]","Leaf"
"1378",10,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1379",11,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1380",12,13,"(-∞, -2] & [-1, -0.95]","Leaf"
"1381",13,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1382",14,11,"(-∞, -2] & [-1, -0.95]","Leaf"
"1383",15,4,"(-∞, -2] & [-1, -0.95]","Leaf"
"1384",16,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1385",17,15,"(-∞, -2] & [-1, -0.95]","Leaf"
"1386",1,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1387",2,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1388",3,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1389",4,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1390",5,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1391",6,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1392",7,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1393",8,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1394",9,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1395",10,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1396",11,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1397",12,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1398",13,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1399",14,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1400",15,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1401",16,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1402",17,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1403",1,1,"(-∞, -2] & [-1, -0.95]","Root"
"1404",2,0,"(-∞, -2] & [-1, -0.95]","Root"
"1405",3,0,"(-∞, -2] & [-1, -0.95]","Root"
"1406",4,2,"(-∞, -2] & [-1, -0.95]","Root"
"1407",5,1,"(-∞, -2] & [-1, -0.95]","Root"
"1408",6,2,"(-∞, -2] & [-1, -0.95]","Root"
"1409",7,1,"(-∞, -2] & [-1, -0.95]","Root"
"1410",8,1,"(-∞, -2] & [-1, -0.95]","Root"
"1411",9,2,"(-∞, -2] & [-1, -0.95]","Root"
"1412",10,1,"(-∞, -2] & [-1, -0.95]","Root"
"1413",11,1,"(-∞, -2] & [-1, -0.95]","Root"
"1414",12,11,"(-∞, -2] & [-1, -0.95]","Root"
"1415",13,1,"(-∞, -2] & [-1, -0.95]","Root"
"1416",14,0,"(-∞, -2] & [-1, -0.95]","Root"
"1417",15,4,"(-∞, -2] & [-1, -0.95]","Root"
"1418",16,2,"(-∞, -2] & [-1, -0.95]","Root"
"1419",17,2,"(-∞, -2] & [-1, -0.95]","Root"
"1420",0,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1421",1,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1422",2,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1423",3,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1424",4,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1425",5,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1426",6,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1427",7,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1428",8,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1429",9,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1430",10,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1431",11,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1432",12,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1433",13,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1434",14,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1435",15,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1436",16,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1437",17,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1438",8,3,"(-∞, -2] & [-1, -0.95]","Leaf"
"1439",9,7,"(-∞, -2] & [-1, -0.95]","Leaf"
"1440",10,10,"(-∞, -2] & [-1, -0.95]","Leaf"
"1441",11,6,"(-∞, -2] & [-1, -0.95]","Leaf"
"1442",12,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1443",13,8,"(-∞, -2] & [-1, -0.95]","Leaf"
"1444",14,10,"(-∞, -2] & [-1, -0.95]","Leaf"
"1445",15,6,"(-∞, -2] & [-1, -0.95]","Leaf"
"1446",16,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1447",17,13,"(-∞, -2] & [-1, -0.95]","Leaf"
"1448",8,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1449",9,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1450",10,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1451",11,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1452",12,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1453",13,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1454",14,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1455",15,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1456",16,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1457",17,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1458",8,0,"(-∞, -2] & [-1, -0.95]","Root"
"1459",9,5,"(-∞, -2] & [-1, -0.95]","Root"
"1460",10,3,"(-∞, -2] & [-1, -0.95]","Root"
"1461",11,1,"(-∞, -2] & [-1, -0.95]","Root"
"1462",12,0,"(-∞, -2] & [-1, -0.95]","Root"
"1463",13,1,"(-∞, -2] & [-1, -0.95]","Root"
"1464",14,1,"(-∞, -2] & [-1, -0.95]","Root"
"1465",15,0,"(-∞, -2] & [-1, -0.95]","Root"
"1466",16,3,"(-∞, -2] & [-1, -0.95]","Root"
"1467",17,0,"(-∞, -2] & [-1, -0.95]","Root"
"1468",0,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1469",8,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1470",9,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1471",10,4,"(-∞, -2] & [-1, -0.95]","Soil"
"1472",11,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1473",12,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1474",13,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1475",14,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1476",15,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1477",16,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1478",17,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1479",3,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1480",4,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1481",5,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1482",6,0,"(-∞, -2] & [-1, -0.95]","Leaf"
"1483",7,3,"(-∞, -2] & [-1, -0.95]","Leaf"
"1484",8,3,"(-∞, -2] & [-1, -0.95]","Leaf"
"1485",9,5,"(-∞, -2] & [-1, -0.95]","Leaf"
"1486",10,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1487",11,6,"(-∞, -2] & [-1, -0.95]","Leaf"
"1488",12,15,"(-∞, -2] & [-1, -0.95]","Leaf"
"1489",13,9,"(-∞, -2] & [-1, -0.95]","Leaf"
"1490",14,4,"(-∞, -2] & [-1, -0.95]","Leaf"
"1491",15,10,"(-∞, -2] & [-1, -0.95]","Leaf"
"1492",16,4,"(-∞, -2] & [-1, -0.95]","Leaf"
"1493",17,1,"(-∞, -2] & [-1, -0.95]","Leaf"
"1494",3,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1495",4,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1496",5,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1497",6,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1498",7,2,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1499",8,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1500",9,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1501",10,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1502",11,1,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1503",12,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1504",13,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1505",14,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1506",15,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1507",16,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1508",17,0,"(-∞, -2] & [-1, -0.95]","Rhizosphere"
"1509",3,0,"(-∞, -2] & [-1, -0.95]","Root"
"1510",4,0,"(-∞, -2] & [-1, -0.95]","Root"
"1511",5,0,"(-∞, -2] & [-1, -0.95]","Root"
"1512",6,2,"(-∞, -2] & [-1, -0.95]","Root"
"1513",7,2,"(-∞, -2] & [-1, -0.95]","Root"
"1514",8,1,"(-∞, -2] & [-1, -0.95]","Root"
"1515",9,0,"(-∞, -2] & [-1, -0.95]","Root"
"1516",10,2,"(-∞, -2] & [-1, -0.95]","Root"
"1517",11,8,"(-∞, -2] & [-1, -0.95]","Root"
"1518",12,3,"(-∞, -2] & [-1, -0.95]","Root"
"1519",13,5,"(-∞, -2] & [-1, -0.95]","Root"
"1520",14,1,"(-∞, -2] & [-1, -0.95]","Root"
"1521",15,4,"(-∞, -2] & [-1, -0.95]","Root"
"1522",16,0,"(-∞, -2] & [-1, -0.95]","Root"
"1523",17,1,"(-∞, -2] & [-1, -0.95]","Root"
"1524",0,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1525",3,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1526",4,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1527",5,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1528",6,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1529",7,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1530",8,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1531",9,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1532",10,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1533",11,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1534",12,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1535",13,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1536",14,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1537",15,0,"(-∞, -2] & [-1, -0.95]","Soil"
"1538",16,1,"(-∞, -2] & [-1, -0.95]","Soil"
"1539",17,0,"(-∞, -2] & [-1, -0.95]","Soil"
